AD,date,reconstructed,data_type_code,century,temp_bin,date_as_date,i,temp_class,id
1174,422,4.1,Diary,12,>=3 & <6,2022-04-22,27,gte3-and-lt6,119
1175,423,3.8,Diary,12,>=3 & <6,2022-04-23,28,gte3-and-lt6,120
1176,422,3.8,Diary,12,>=3 & <6,2022-04-22,27,gte3-and-lt6,121
1179,413,6.6,Diary,12,>=6 & <9,2022-04-13,18,gte6-and-lt9,122
1180,407,8,Diary,12,>=6 & <9,2022-04-07,12,gte6-and-lt9,123
1182,414,6.3,Poetry,12,>=6 & <9,2022-04-14,19,gte6-and-lt9,124
1183,411,7.2,Diary,12,>=6 & <9,2022-04-11,16,gte6-and-lt9,125
1184,424,3.2,Diary,12,>=3 & <6,2022-04-24,29,gte3-and-lt6,126
1185,425,3.2,Diary,12,>=3 & <6,2022-04-25,30,gte3-and-lt6,127
1187,414,6.3,Diary,12,>=6 & <9,2022-04-14,19,gte6-and-lt9,128
1188,416,5.4,Diary,12,>=3 & <6,2022-04-16,21,gte3-and-lt6,129
1190,422,4.1,Poetry,12,>=3 & <6,2022-04-22,27,gte3-and-lt6,130
1191,416,5.7,Diary,12,>=3 & <6,2022-04-16,21,gte3-and-lt6,131
1194,429,2.2,Diary,12,<3,2022-04-29,34,lt3,132
1199,419,4.9,Diary,12,>=3 & <6,2022-04-19,24,gte3-and-lt6,133
1200,413,6.3,Diary,13,>=6 & <9,2022-04-13,18,gte6-and-lt9,134
1201,406,8.6,Poetry,13,>=6 & <9,2022-04-06,11,gte6-and-lt9,135
1202,416,5.7,Diary,13,>=3 & <6,2022-04-16,21,gte3-and-lt6,136
1203,415,6,Diary,13,>=6 & <9,2022-04-15,20,gte6-and-lt9,137
1204,419,4.6,Diary,13,>=3 & <6,2022-04-19,24,gte3-and-lt6,138
1205,415,6,Diary,13,>=6 & <9,2022-04-15,20,gte6-and-lt9,139
1207,414,6.3,Diary,13,>=6 & <9,2022-04-14,19,gte6-and-lt9,140
1210,422,4.1,Diary,13,>=3 & <6,2022-04-22,27,gte3-and-lt6,141
1212,407,8,Diary,13,>=6 & <9,2022-04-07,12,gte6-and-lt9,142
1213,417,5.4,Diary,13,>=3 & <6,2022-04-17,22,gte3-and-lt6,143
1214,412,6.9,Diary,13,>=6 & <9,2022-04-12,17,gte6-and-lt9,144
1215,418,5.2,Diary,13,>=3 & <6,2022-04-18,23,gte3-and-lt6,145
1216,410,7.2,Poetry,13,>=6 & <9,2022-04-10,15,gte6-and-lt9,146
1219,411,7.2,Poetry,13,>=6 & <9,2022-04-11,16,gte6-and-lt9,147
1220,418,4.9,Phenology,13,>=3 & <6,2022-04-18,23,gte3-and-lt6,148
